15:05:04.101515 IP6 fe80::d460:9eff:fec4:947e.5353 > ff02::fb.5353: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)
15:05:04.898580 IP6 fe80::d4a3:10ff:feef:279d > ff02::2: ICMP6, router solicitation, length 16
15:05:04.909558 IP6 fe80::d460:9eff:fec4:947e.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR ubuntu.local., (Cache flush) AAAA fe80::d460:9eff:fec4:947e (138)
15:05:05.007718 IP6 fe80::e84a:3fff:fea8:da5f.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR ubuntu.local., (Cache flush) AAAA fe80::e84a:3fff:fea8:da5f (138)
15:05:05.139783 IP6 fe80::e84a:3fff:fea8:da5f > ff02::2: ICMP6, router solicitation, length 16
15:05:05.160730 IP6 fe80::ccb3:b6ff:fec6:c78 > ff02::2: ICMP6, router solicitation, length 16
15:05:05.358848 ARP, Request who-has 10.0.0.7 tell 10.0.0.1, length 28
15:05:05.360534 ARP, Reply 10.0.0.7 is-at f6:a2:ac:27:f4:9a, length 28
15:05:05.381720 IP6 fe80::d460:9eff:fec4:947e > ff02::2: ICMP6, router solicitation, length 16
15:05:05.574027 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.574883 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.575535 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.577394 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.579052 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.580755 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.581233 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.582396 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.584086 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.586363 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.587475 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.589157 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.590805 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.593292 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.593330 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.594967 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.594968 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.596635 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.598301 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.600036 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.601409 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.602501 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.604172 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.604203 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.605004 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.605850 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.606680 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.610076 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.611782 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.613395 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.614645 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.615903 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.616728 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.616729 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.618412 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.620089 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.621765 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.623436 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.625104 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.626336 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.627621 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.628073 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.628488 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.629299 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.631004 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.632645 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.635149 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.638509 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.640181 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.640182 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.641025 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.642699 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.644376 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.646040 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.647724 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.650278 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.653584 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.653585 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.655256 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.657757 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.659442 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.661058 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.662829 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.664468 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.667010 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.670323 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.672022 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.674504 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.676188 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.677021 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.677847 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.679534 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.682054 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.683723 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.686950 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.688734 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.689265 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.690407 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.692098 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.694603 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.696267 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.698783 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.700450 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.700451 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.702143 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.702143 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.703910 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.706320 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.708035 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.709669 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.710087 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.711391 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.713065 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.715241 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.715242 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.716366 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.718059 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.718137 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.719733 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.721428 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.723062 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.724494 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.725581 IP6 fe80::6c54:6ff:fe6b:6652.5353 > ff02::fb.5353: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)
15:05:05.726435 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.730607 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.730627 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.733212 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.734791 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.736468 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.738137 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.738137 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
